20.6377,17.3702,1.7,200.7
46.0156,19.7612,-0.3,177.7
80.4898,15.9006,-7.4,222.5
109.0066,20.0923,-10.4,180.2
129.2322,16.8969,-3.2,215.7
154.0816,16.4661,5.7,227.5
178.3864,15.3484,1.8,243.4
-163.7400,18.3596,-5.5,212.1
-137.3067,18.4095,-0.4,216.8
-117.0684,15.8591,3.4,242.7
-91.8310,15.7056,10.2,242.8
-76.3521,16.6732,12.4,227.9
-50.5719,17.5457,21.3,215.3
-24.8879,18.0466,19.6,205.7
-2.2797,17.6283,9.5,203.9
6.7085,33.6667,11.9,107.0
31.1646,34.1219,3.6,105.1
47.7275,28.0104,-2.5,126.2
77.7028,31.3231,-6.4,115.7
96.8917,31.0273,-9.2,121.5
117.3535,41.6886,-4.5,91.4
147.9344,36.0748,3.8,108.2
162.3968,35.0097,1.4,118.4
-174.3054,35.6336,-26.4,141.6
-146.2855,33.4081,-25.7,152.1
-129.1407,31.0239,-19.4,159.4
-102.9307,40.6920,-14.4,127.4
-86.4455,35.5525,-10.5,142.8
-63.1512,36.0789,-4.8,138.3
-32.2822,34.2309,2.4,132.7
14.7381,57.4877,-11.5,74.0
45.1308,56.5343,-24.6,75.7
66.5569,55.6697,-33.4,77.0
85.9213,56.2441,-42.5,77.5
114.8546,55.0908,-44.9,84.8
127.5412,51.4039,-41.6,92.6
159.2475,54.5832,-31.9,93.4
176.0898,59.4534,-35.9,87.6
-160.1178,57.1969,-34.4,95.8
-138.7686,57.2505,-25.5,97.7
-71.8639,54.9300,-0.1,94.6
-94.6514,54.0099,-10.8,101.1
-49.9765,54.2498,11.0,91.3
-29.5508,51.4514,5.6,92.8
-6.6709,51.8121,-6.1,87.7
4.6694,68.8559,0.1,61.0
29.8040,72.5983,-10.8,49.8
43.7556,78.9790,-15.1,39.2
75.6707,66.8094,-44.3,58.5
97.1182,75.1929,-65.0,49.2
118.9617,66.5850,-56.6,66.9
153.8936,78.0073,-67.1,55.7
165.6567,71.3054,-49.8,67.3
-171.5131,67.7790,-44.1,75.5
-146.6965,72.3445,-30.8,73.3
-128.1330,72.5622,-12.3,72.5
-99.0594,70.1149,-2.2,74.9
-73.1650,69.2141,9.5,75.9
-64.6420,72.1742,20.3,66.9
-44.7174,75.1355,36.5,56.9
-17.0184,77.4881,38.1,52.3

