73199,9.48075,16.8928,4.5808,224.502,65.8355
62956,27.9061,15.6256,1.7545,193.772,55.8325
53229,59.1398,16.5587,3.9531,163.655,34.0899
50335,73.1594,16.5517,3.5096,154.498,23.3016
45336,100.141,15.4125,3.8713,138.894,2.21521
40084,122.845,16.0815,4.8789,123.09,-12.998
33977,143.164,16.8995,3.005,105.998,-23.8703
21393,178.202,19.8506,3.973,69.1097,-30.5187
17304,190.115,17.7522,4.9335,55.7883,-31.8683
11918,206.088,17.2665,4.9548,38.7094,-28.1342
3455,238.808,18.0374,4.9349,11.333,-10.4865
116928,259.343,15.5141,4.5578,355.801,1.90441
113963,276.238,16.7919,2.4784,346.471,15.3265
109410,299.091,17.4872,4.3853,332.747,33.2875
103632,319.426,16.0349,4.7199,315.146,47.6058
90344,347.714,17.6222,4.9835,276.511,65.5699
69112,8.18545,29.0005,4.9527,212.228,77.435
54061,32.8694,30.1798,1.9519,166.296,61.6271
50372,55.5479,27.2586,3.4586,154.626,42.7994
43103,80.548,36.3607,4.1992,132.026,28.6757
40167,97.5521,36.9195,4.7809,123.386,17.5777
37279,115.672,34.8197,0.4607,115.128,5.16438
32349,143.303,25.1521,-1.0876,101.541,-16.7508
24305,166.95,33.2163,3.2528,78.4906,-16.1812
18543,188.933,36.5045,3.0703,59.7737,-13.4457
12390,211.904,32.8207,4.9262,40.1659,-11.7769
8833,233.829,39.7131,4.7687,28.6828,3.29926
3786,252.054,31.7951,4.5555,12.4643,7.70835
677,279.969,36.7212,2.0371,2.38849,29.2155
113726,301.648,31.0099,3.6041,345.737,42.4469
109492,322.404,30.8316,3.512,332.902,58.3109
99255,348.224,31.9464,4.3714,302.001,77.7729
33694,12.4763,49.1833,4.695,105.855,76.9498
32438,36.2373,60.4844,4.8902,102.068,59.4209
36145,58.0644,57.0097,4.6188,112.115,49.1677
37265,82.055,51.8034,4.9874,115.169,34.5323
32246,106.484,57.9493,3.1915,101.338,25.1085
31681,119.949,53.3588,1.929,99.761,16.3791
27989,142.712,52.2605,0.4997,89.1045,7.41014
22549,169.458,55.6134,3.6236,73.1067,5.64305
18907,190.81,56.0045,3.9203,61.0931,6.0517
15900,208.794,56.459,3.77,51.5101,9.10854
13914,232.411,63.8708,4.6513,45.1287,21.4318
9884,252.057,56.4231,2.1726,32.1135,23.5703
5447,280.416,51.2027,2.1741,17.7495,35.7417
7607,301.152,58.7622,3.7515,24.845,48.7449
6686,321.858,55.2856,2.7146,21.822,60.3553
9598,343.149,52.7177,3.9602,31.3412,72.5341
23040,17.5361,74.9012,4.4473,74.7815,53.7911
27949,34.8474,68.2802,4.9918,89.1939,55.7146
24608,50.7837,78.8595,0.2385,79.5965,46.0232
24813,82.8832,79.9847,4.8232,80.1892,40.1209
28380,90.1381,71.7346,2.6103,90.3227,37.2154
25428,127.498,73.5954,1.6151,81.9361,28.6275
25539,139.475,68.1606,4.8286,82.2537,21.9567
21881,168.026,73.091,4.2366,70.9051,23.001
19990,187.158,70.9079,4.9992,64.6504,20.635
17702,211.453,72.4417,2.848,57.2106,24.1761
17448,233.359,78.7196,3.8583,56.4378,32.3615
15416,254.133,75.3678,4.9927,50.0391,34.3073
14576,281.829,74.9194,2.0969,47.4128,41.045
14668,296.79,74.7393,3.9564,47.7582,44.9457
17358,319.773,78.5578,2.9703,56.1377,47.8625
19167,343.404,78.6184,4.2801,62.0719,50.4155
